alim_grp_code;alim_ssgrp_code;alim_ssssgrp_code;alim_grp_nom_eng;alim_ssgrp_nom_eng;alim_ssssgrp_nom_eng;alim_code;alim_nom_eng;alim_nom_eng;Energy. Regulation EU No 1169/2011 (kcal/100g);Energy. N x Jones' factor. with fibres (kJ/100g);Energy. N x Jones' factor. with fibres (kcal/100g);Water (g/100g);Protein (g/100g);Protein. crude. N x 6.25 (g/100g);Carbohydrate (g/100g);Fat (g/100g);Sugars (g/100g);Starch (g/100g);Fibres (g/100g);Polyols (g/100g);Ash (g/100g);Alcohol (g/100g);Organic acids (g/100g);FA saturated (g/100g);FA mono (g/100g);FA poly (g/100g);FA 4:0 (g/100g);FA 6:0 (g/100g);FA 8:0 (g/100g);FA 10:0 (g/100g);FA 12:0 (g/100g);FA 14:0 (g/100g);FA 16:0 (g/100g);FA 18:0 (g/100g);FA 18:1 n-9 cis (g/100g);FA 18:2 9c.12c (n-6) (g/100g);FA 18:3 c9.c12.c15 (n-3) (g/100g);FA 20:4 5c.8c.11c.14c (n-6) (g/100g);FA 20:5 5c.8c.11c.14c.17c (n-3) EPA (g/100g);FA 22:6 4c.7c.10c.13c.16c.19c (n-3) DHA (g/100g);Cholesterol (mg/100g);Salt (g/100g);Calcium (mg/100g);Chloride (mg/100g);Copper (mg/100g);Iron (mg/100g);Iodine (µg/100g);Magnesium (mg/100g);Manganese (mg/100g);Phosphorus (mg/100g);Potassium (mg/100g);Selenium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Retinol (µg/100g);Beta-carotene (µg/100g);Vitamin D (µg/100g);Vitamin E (mg/100g);Vitamin K1 (µg/100g);Vitamin K2 (µg/100g);Vitamin C (mg/100g);Vitamin B1 or Thiamin (mg/100g);Vitamin B2 or Riboflavin (mg/100g);Vitamin B3 or Niacin (mg/100g);Vitamin B5 or Pantothenic acid (mg/100g);Vitamin B6 (mg/100g);Vitamin B9 or Folate (µg/100g);Vitamin B12 (µg/100g)
1;102;0;starters and dishes;soup;-;25908;Soup. chicken and vermicelli. prepacked. to be reheated;Soup. chicken and vermicelli. prepacked. to be reheated;30.8;129;30.8;93.5;1.3;1.3;3.86;1;0.77;-;0.56;0;1.01;0;traces;0.49;0.29;0.18;0;0;0;0;0.001;0.005;0.2;0.053;-;-;-;-;0;0;5;0.82;7.96;-;0.069;0.14;0.5;7.93;0.057;17;30.5;< 10;326;0.1;1;119;0;0.03;0;-;-;0.055;0.045;0.54;0.074;0.02;2;0.02
1;102;0;starters and dishes;soup;-;25909;Broth. stock or bouillon. meat and vegetables. dehydrated and reconstituted;Broth. stock or bouillon. meat and vegetables. dehydrated and reconstituted;5.78;24;5.78;98.1;0.44;0.44;0.1;0.4;0;0.1;0;0;1.09;0;traces;0.2;0.09;0.05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;1.08;1;-;0;0.1;-;2;0.01;1;15;0;430;-;0;-;-;-;-;-;0;0.06;0.01;0;0.02;0.01;12;0.05
1;102;0;starters and dishes;soup;-;25910;Soup. onions. prepacked. to be reheated;Soup. onions. prepacked. to be reheated;40.4;169;40.4;92.7;1.35;1.35;4.93;1.4;1.5;-;1.34;0;1.27;0;traces;0.55;-;0.26;0;0;0;-;0;0;0.069;0.034;-;-;-;-;0;0;0;0.79;12;-;0.054;0.27;-;1;0.098;4;28;-;315;0.25;1;1;0;0.11;0.2;-;0.5;0.013;0.01;0.24;0;0.02;6;0
1;102;0;starters and dishes;soup;-;25912;Soup. mushrooms. prepacked. to be reheated;Soup. mushrooms. prepacked. to be reheated;48.2;201;48.2;92;0.81;0.81;4.09;3.07;0.91;-;0.52;0;1;0;traces;1.58;0.4;0.96;0.014;0.011;0.0087;0.022;0.024;0.092;0.68;0.15;0.4;0.31;0.01;-;0;0;3.3;0.78;7;490;0.016;0.09;8.4;2;0.018;12;62;-;312;0.06;5.5;0;0.1;0.24;9.6;-;-;0.006;0.008;0.17;0.072;0.007;1;0
1;102;0;starters and dishes;soup;-;25913;Soup. carrots. prepacked. to be reheated;Soup. carrots. prepacked. to be reheated;33.2;139;33.2;91.2;0.61;0.61;3.89;1.41;1.82;2.08;1.22;0;1.05;0;traces;0.96;0.36;0.029;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.65;15;-;-;0.3;-;7;-;20;140;-;259;-;4;3500;-;-;-;-;11;0.05;-;0.65;-;0.08;9;-
1;102;0;starters and dishes;soup;-;25914;Soup. tomatoes. prepacked. to be reheated;Soup. tomatoes. prepacked. to be reheated;38.7;163;38.7;90.3;0.74;0.74;6.27;0.99;2.95;1.8;0.88;0;0.98;0;traces;0.36;0.29;0.3;0.016;0.0079;< 0.01;0.0079;0.016;0.055;0.2;0.063;0.28;0.15;0.02;< 0.01;< 0.01;< 0.01;2.9;0.64;11;416;0.03;0.14;< 20;5.9;0.04;15;130;< 20;259;0.08;< 21;1680;0.6;0.69;1.01;-;6.4;0.01;0.056;0.58;0.2;0.2;23.8;0.01
1;102;0;starters and dishes;soup;-;25915;Soup. chorba frik. w meat and frik;Soup. chorba frik. w meat and frik;62.9;263;62.9;85.1;3.75;3.75;5.4;2.5;0.9;3.9;1.9;0;1.2;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;0.84;19;-;0.07;0.97;2;17;0.31;54;157;1.4;337;0.84;4.4;172;0.02;0.6;-;-;3.2;0.03;0.04;0.96;0.18;0.07;16;0.11
1;102;0;starters and dishes;soup;-;25916;Soup. minestrone. prepacked. to be reheated;Soup. minestrone. prepacked. to be reheated;48.8;204;48.8;89.4;1.2;1.2;5.6;2;1.7;-;1.8;0;1;0;traces;0.6;0.34;0.29;0.03;0.02;0.01;0.02;0.03;0.05;0.2;0.095;-;-;-;-;0;0;1.5;0.75;33.3;460;0.11;0.56;1;12.5;0.11;34.5;106;< 2.2;300;0.19;0;885;0;0.67;3.2;-;1.25;0.023;0.034;0.44;0.22;0.071;10;0
1;102;0;starters and dishes;soup;-;25917;Soup. pistou (basil. garlic and olive oil). dehydrated and reconstituted;Soup. pistou (basil. garlic and olive oil). dehydrated and reconstituted;30.4;128;30.4;88.2;1.2;1.2;5.2;0.35;1.2;4;0.8;0;1.08;0;traces;< 0.2;0.23;0.06;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0.64;19;-;0.1;0.4;1;14;0.1;24;132;2.2;256;0.19;0;900;-;0.2;-;-;7;-;-;-;-;0.07;18;-
1;102;0;starters and dishes;soup;-;25919;Soup. fish and/or crustacean. dehydrated and reconstituted;Soup. fish and/or crustacean. dehydrated and reconstituted;29;122;29;90.6;0.91;0.91;5.09;0.5;1.06;-;0.21;0;1.15;0;traces;0.14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.63;-;-;-;-;-;-;-;0;0.01;-;253;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
